english;french;code
Algeria;Algérie;DZA
Angola;Angola;AGO
Benin;Bénin;BEN
Botswana;Botswana;BWA
Burkina Faso;Burkina Faso;BFA
Burundi;Burundi;BDI
Cameroon;Cameroun;CMR
Cape Verde;Cap-Vert;CPV
Central African Republic;Centrafrique;CAF
Chad;Tchad;TCD
Comoros;Comores;COM
Congo;Congo;COG
Cote d'Ivoire;Côte d'Ivoire;CIV
Democratic Republic of the Congo;Congo Démocratique;COD
Djibouti;Djibouti;DJI
Egypt;Egypte;EGY
Equatorial Guinea;Guinée Equatoriale;GNQ
Eritrea;Erythrée;ERI
Ethiopia;Ethiopie;ETH
Gabon;Gabon;GAB
Gambia;Gambie;GMB
Ghana;Ghana;GHA
Guinea;Guinée;GIN
Guinea-Bissau;Guinée Bissau;GNB
Kenya;Kenya;KEN
Lesotho;Lesotho;LSO
Liberia;Libéria;LBR
Libya;Libye;LBY
Madagascar;Madagascar;MDG
Malawi;Malawi;MWI
Mali;Mali;MLI
Mauritania;Mauritanie;MRT
Mauritius;Ile Maurice;MUS
Mayotte;Mayotte;MYT
Morocco;Maroc;MAR
Mozambique;Mozambique;MOZ
Namibia;Namibie;NAM
Niger;Niger;NER
Nigeria;Nigéria;NGA
Réunion;Réunion;REU
Rwanda;Rwanda;RWA
Sao Tome and Principe;Sao Tome-et-Principe;STP
Senegal;Sénégal;SEN
Seychelles;Seychelles;SYC
Sierra Leone;Sierra Leone;SLE
Somalia;Somalie;SOM
South Africa;Afrique du Sud;ZAF
South Sudan;Sud Soudan;SSD
Sudan;Soudan;SDN
Swaziland;Swaziland;SWZ
Tanzania;Tanzanie;TZA
Togo;Togo;TGO
Tunisia;Tunisie;TUN
Uganda;Ouganda;UGA
Western Sahara;Sahara occidental;ESH
Zambia;Zambie;ZMB
Zimbabwe;Zimbabwe;ZWE
